"","playerID","stint","G","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH"
"415","balbost01",13,960,3120,351,714,127,11,181,495,1,2,273,856,21,19,1
"416","balcebo01",1,7,2,2,0,0,0,0,0,0,0,0,1,0,0,0
"417","baldero01",7,519,1910,281,531,99,18,60,262,60,16,102,388,8,31,7
"418","baldsja01",9,457,78,5,7,1,0,0,3,1,0,5,41,0,0,8
"419","baldwbi01",2,39,117,12,27,4,1,5,13,2,1,6,16,0,0,1
"420","baldwda01",6,176,15,1,1,0,0,0,0,0,0,1,10,0,0,0
"421","baldwja01",18,266,44,1,4,1,1,0,2,0,0,0,20,0,0,3
"422","baldwje01",1,7,8,1,0,0,0,0,0,0,0,1,2,0,0,0
"423","baldwre01",2,52,87,5,21,6,0,1,12,0,0,3,4,0,0,0
"424","baldwri01",3,105,22,2,6,0,0,0,0,0,0,0,9,0,0,2
"425","balejo01",7,109,17,0,2,0,0,0,0,0,0,0,8,0,0,0
"426","balenwl01",5,170,511,54,113,31,1,15,52,2,2,44,149,2,0,0
"427","balesco01",6,88,28,1,4,0,0,0,1,0,0,2,10,0,1,11
"428","balesle01",2,31,43,8,4,0,0,0,2,1,1,8,12,0,0,1
"429","balfogr01",14,534,2,0,0,0,0,0,0,0,0,0,2,0,0,0
"430","ballaje01",7,197,13,0,5,1,0,0,0,0,0,0,4,0,0,1
"431","balleja01",6,94,14,0,1,0,0,0,0,0,0,0,7,0,1,2
"432","ballima01",1,18,5,1,1,0,0,0,0,0,0,0,2,0,0,0
"433","ballje01",1,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"434","balsato01",1,18,5,1,1,1,0,0,0,0,0,0,3,0,0,0
"435","bambege01",3,11,2,0,0,0,0,0,0,0,0,0,1,0,0,0
"436","bandoch01",11,498,1284,134,292,46,2,27,142,1,5,138,197,6,2,27
"437","bandosa01",16,2019,7060,982,1790,289,38,242,1039,75,46,1031,923,69,75,65
"438","bandyje01",2,72,211,24,50,9,0,9,26,1,0,11,38,0,4,3
"439","baneed01",3,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"440","baneydi01",3,42,16,0,2,0,0,0,0,0,0,0,4,0,1,3
"441","banisje01",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"442","bankhsc01",10,267,9,0,2,0,0,0,0,0,0,0,7,0,0,2
"443","banksbr01",6,273,495,65,122,19,3,13,64,8,3,62,129,6,2,5
"444","banksge01",7,106,201,33,44,6,2,9,27,0,1,37,59,1,2,1
"445","banksjo01",4,30,27,4,3,0,0,0,0,0,0,4,6,0,0,2
"446","bankswe01",1,17,59,4,12,3,0,1,4,0,0,2,15,0,1,0
"447","bankswi01",16,184,68,5,12,2,0,0,1,0,1,2,23,0,2,8
"448","bannial01",16,972,3007,430,811,143,28,19,288,108,37,292,318,13,13,33
"449","bannibr01",5,117,29,3,8,4,0,0,4,0,0,0,9,0,1,3
"450","bannifl01",15,431,80,6,14,1,0,0,1,0,0,2,26,0,0,11
"451","bantzbr01",1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0
"452","banuema01",1,7,3,0,0,0,0,0,0,0,0,0,1,0,0,4
"453","baptitr01",1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"454","barajro01",16,1114,3460,396,812,187,1,136,480,2,2,207,638,31,46,28
"455","barbajo01",1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"456","barbebr01",6,479,1434,163,388,73,6,16,133,16,13,164,268,10,32,18
"457","barbebr02",4,26,8,0,1,0,0,0,0,0,0,1,2,0,0,1
"458","barbest01",21,466,563,24,65,5,2,5,27,0,1,38,320,0,2,45
"459","barbest02",2,25,7,0,0,0,0,0,0,0,0,0,2,0,0,1
"460","barbiji01",1,39,82,9,23,5,0,0,3,2,0,9,7,1,0,1
"461","barcelo01",3,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"462","barclcu01",3,44,64,6,15,3,0,0,4,0,0,1,18,0,1,1
"463","bardda01",5,211,2,0,0,0,0,0,0,0,0,0,1,0,0,0
"464","bardebr01",6,119,175,21,37,4,0,4,14,0,2,11,44,0,3,3
"465","bardjo01",12,586,1778,162,452,109,3,39,220,1,4,175,299,12,3,11
"466","barera01",5,88,5,1,1,0,0,0,1,0,0,0,4,0,0,0
"467","barfije01",14,1428,4759,715,1219,216,30,241,716,66,47,551,1234,49,34,16
"468","barfijo01",3,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"469","barfijo02",4,309,1012,133,267,53,6,16,112,35,11,44,188,7,5,5
"470","bargagr01",3,33,9,0,1,0,0,0,1,0,0,0,7,0,0,0
